name                     forge   host             owner         repo                     path        lang method live  sort_tags
addlicense               github  github.com       google        addlicense               .           go   vendor false false
authenticator            gitlab  gitlab.gnome.org World         Authenticator            .           rust vendor false false
bt                       github  github.com       LeperGnome    bt                       .           go   vendor false false
codebook                 github  github.com       blopker       codebook                 .           rust vendor false false
golangci-lint-langserver github  github.com       nametake      golangci-lint-langserver .           go   vendor false false
identity                 gitlab  gitlab.gnome.org YaLTeR        identity                 .           rust vendor false false
ignore-python            github  github.com       borsattoz     ignore-python            .           rust vendor false false
ios-safari-remote-debug  forgejo git.gay          besties       ios-safari-remote-debug  .           go   vendor true  false
iwe                      github  github.com       iwe-org       iwe                      .           rust vendor false false
markdown-oxide           github  github.com       Feel-ix-343   markdown-oxide           .           rust vendor false false
mousai                   github  github.com       SeaDve        Mousai                   .           rust vendor false false
neocmakelsp              github  github.com       neocmakelsp   neocmakelsp              .           rust vendor false false
protorpc                 github  github.com       chai2010      protorpc                 .           go   vendor false false
scooter                  github  github.com       thomasschafer scooter                  .           rust vendor false false
Throne                   github  github.com       throneproj    Throne                   core/server go   vendor false true
webdav-server-rs         github  github.com       miquels       webdav-server-rs         .           rust vendor true  false
